Acrylic,Weight,Fn,Ft 1,Ft 2,Ft 3,Ft 4,Ft 5,Ft Avg,Sigma n,Sigma t,,Std Dev ,Stress 1,Stress 2,Stress 3,Stress 4,Stress 5
,10,0.098,2.2,2.5,2.1,2.7,2.3,2.36,0.2333333333,5.619047619,,0.5734092657,5.238095238,5.952380952,5,6.428571429,5.476190476
Area (mm^2),20,0.196,3.1,3.3,3.4,3.6,3.4,3.36,0.4666666667,8,,0.4325214792,7.380952381,7.857142857,8.095238095,8.571428571,8.095238095
420,30,0.294,0,,,,,0,0.7,0,,,,,,,
,50,0.49,5.4,5.7,6,6.2,6.4,5.94,1.166666667,14.14285714,,0.9464098531,12.85714286,13.57142857,14.28571429,14.76190476,15.23809524
,70,0.686,0,,,,,0,1.633333333,0,,,,,,,
,100,0.98,6.9,7.1,6.9,7.3,7.2,7.08,2.333333333,16.85714286,,0.42591771,16.42857143,16.9047619,16.42857143,17.38095238,17.14285714
,200,1.96,8.4,10.2,9.5,9.7,9.4,9.44,4.666666667,22.47619048,,1.566731798,20,24.28571429,22.61904762,23.0952381,22.38095238
,300,2.94,0,,,,,0,7,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Paper,Weight,Fn,Ft 1,Ft 2,Ft 3,Ft 4,Ft 5,Ft Avg,Sigma n,Sigma t,,Std Dev ,Stress 1,Stress 2,Stress 3,Stress 4,Stress 5
,10,0.098,0.4,0.4,0.3,0.6,0.6,0.46,0.2333333333,1.095238095,,0.3194382825,0.9523809524,0.9523809524,0.7142857143,1.428571429,1.428571429
Area (mm^2),20,0.196,0.6,0.3,0.4,0.9,0.8,0.6,0.4666666667,1.428571429,,0.6070261326,1.428571429,0.7142857143,0.9523809524,2.142857143,1.904761905
420,30,0.294,0,,,,,0,0.7,0,,,,,,,
,50,0.49,0.9,1.1,1,1.1,1.1,1.04,1.166666667,2.476190476,,0.212958855,2.142857143,2.619047619,2.380952381,2.619047619,2.619047619
,70,0.686,0,,,,,0,1.633333333,0,,,,,,,
,100,0.98,1.6,1.8,2,2,1.9,1.86,2.333333333,4.428571429,,0.3984095364,3.80952381,4.285714286,4.761904762,4.761904762,4.523809524
,200,1.96,3,3,2.8,3.2,3.3,3.06,4.666666667,7.285714286,,0.464133064,7.142857143,7.142857143,6.666666667,7.619047619,7.857142857
,300,2.94,0,,,,,0,7,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Brushed Steel,Weight,Fn,Ft 1,Ft 2,Ft 3,Ft 4,Ft 5,Ft Avg,Sigma n,Sigma t,,Std Dev ,Stress 1,Stress 2,Stress 3,Stress 4,Stress 5
,10,0.098,2.1,2,1.9,2.3,2.2,2.1,0.2333333333,5,,0.3764616262,5,4.761904762,4.523809524,5.476190476,5.238095238
Area (mm^2),20,0.196,2.9,3,3.2,3,3.3,3.08,0.4666666667,7.333333333,,0.3912303982,6.904761905,7.142857143,7.619047619,7.142857143,7.857142857
420,30,0.294,0,,,,,0,0.7,0,,,,,,,
,50,0.49,5.1,5.3,5.1,3.8,5.1,4.88,1.166666667,11.61904762,,1.452185779,12.14285714,12.61904762,12.14285714,9.047619048,12.14285714
,70,0.686,0,,,,,0,1.633333333,0,,,,,,,
,100,0.98,6.2,6.9,6.7,6.2,6.4,6.48,2.333333333,15.42857143,,0.7415434049,14.76190476,16.42857143,15.95238095,14.76190476,15.23809524
,200,1.96,8.4,7.1,7.9,7,7.4,7.56,4.666666667,18,,1.394433378,20,16.9047619,18.80952381,16.66666667,17.61904762